date,title
2022/01/01,〈觀察〉專業分工為王道 為何碳化矽產業是IDM廠的天下？
2022/01/01,〈觀察〉中國鋼鐵業加速整併 台廠喜憂參半
2022/01/01,〈圖片集〉台北101跨年倒數有亮點！中國信託銀行動畫字樣迎接2022年
2022/01/01,世界先進向友達購入L3B廠 完成交割
2022/01/01,〈元旦新制〉保單借款紓困、理專十誡2.0 八大金融新規上路
2022/01/01,〈元旦新制〉洗發票不給獎、巧克力正名 15項民生新規定一次看
2022/01/02,信越FOUP價格1月再漲20% 崇越受惠
2022/01/02,中鋼興達海基學習曲線攀升 產能倍增營運拚轉盈
2022/01/02,惠特GaN晶圓測試設備Q2末量產 獲晶電、朋程採用
2022/01/02,〈台股風向球〉台積電領軍半導體鳴槍衝 高點不預設立場
2022/01/02,動力-KY 5G伺服器風扇完成驗證 營收比重拚占一成
2022/01/02,華碩衝刺AIoT布局 本季不排除再增持瑞傳持股
2022/01/02,〈晶技展望〉強攻車用市場 估2022年車用營收比重達12%
2022/01/02,〈晶技展望〉5G、元宇宙及車用動能強 2022年業績雙位數成長
2022/01/02,2022開紅盤、CES展登場、大立光/鴻海營收 本周大事預告
2022/01/03,徐秀蘭：今年度太陽光電躉購費率應調升3%
2022/01/03,〈0103強震〉全台有感 面板雙虎營運未受影響
2022/01/03,鴻海官方臉書正式開張 電動巴士Model T打頭陣
2022/01/03,同泰前執行長李遠智等人涉違法 財務損失2000萬元
2022/01/03,〈0103強震〉傍晚4級有感地震 證交所電腦與網路系統皆正常
2022/01/03,國巨發債45億元 借新還舊優化財務結構
2022/01/03,美喆-KY去年12月、Q4營收雙創高 今年營運不看淡
2022/01/03,大同新任財務長 日盛金前總座王芝芳出任
2022/01/03,徐秀蘭：中美晶集團今年徵才逾500人 將啟動結構性調薪
2022/01/03,辛耘去年10月EPS 0.52元 前10月已超越2020年全年
2022/01/03,中保科領頭羊帶頭喊加薪4% 最高調幅達13%
2022/01/03,合勤控庫藏股執行期滿 買回2936張執行率14.68%
2022/01/03,元太ESL布局報捷 聯手振曜導入棉花田全台69家門市
2022/01/03,一銀搶兩聯貸主辦權 合計規模逾50億
2022/01/03,中保科宣布併購永潤食品 擴大餐飲布局
2022/01/03,〈2021車市統計〉豪華車10年來首見衰退 LEXUS NX拿單一車款銷售冠軍
2022/01/03,南電12月營收49.08億元衝次高 去年Q4、全年雙寫新高
2022/01/03,〈台灣大併台灣之星〉三年內挹注EBITDA共180億元 增幅近6成
2022/01/03,三檔ETF將打響新年配息第一槍 00830殖利率8%最搶眼
2022/01/03,〈0103強震〉北部規模6.0地震 台積電、聯電生產未受影響
2022/01/03,台銀拚服務數位化 築巢優利貸導入My Data平台
2022/01/03,〈CES大展〉群創線上秀三大技術 搶元宇宙、自駕車商機
2022/01/03,〈2022投資展望〉復華：首選美、台股 區域布局聚焦亞太新能源供應鏈
2022/01/03,〈2021車市統計〉和泰車銷售創16年新高 FORD拿銷售亞軍 賓士退步一名
