date,title
2022/12/05,〈中華電5G應用〉5G創新應用大賽 行動AI巡防系統拚拓展海外市場
2022/12/05,〈中華電5G應用〉中華電創新智慧應用 目標至少拿三分之二市占
2022/12/08,國內首座 中華電打造PCB產業5G專網示範場域
2022/12/09,中華電行動即時影像服務 導入各縣警政單位
2022/12/12,中華電資通訊業務成長 前11月每股賺4.35元坐穩獲利王
2022/12/14,〈中華電衝ESG〉攜手關鍵供應商 簽零排放承諾書
2022/12/14,〈中華電衝ESG〉年碳排降至70萬噸 持續朝2030年減半目標邁進
2022/12/15,NCC擬擴增5G微型基地台 中華電：會進一步研擬計畫
2022/12/15,中華電攜手基金會、輔大推賦能生態系 解決偏鄉資源
2022/12/16,中華電攜國泰金控打造桃園資訊中心 獲國際認證明年啟用
2022/12/19,2022 FIFA世界盃落幕 中華電OTT瀏覽量4.2億人次創高
2022/12/21,Opensignal網路報告出爐 中華電網速飆、台灣大獲獎最多
2022/12/27,電信商明年拚加薪 中華電加1000元、台灣大可望再調薪
2022/12/28,NCC核准中華電寬頻牌價調降 最高降27.7%約4.6萬戶受惠
