date,title
2023/02/01,Speedtest台灣行動量測報告 中華電拿下三冠王
2023/02/02,中華電用戶持續增加 推升今年營收、5G滲透率成長
2023/02/03,營運展望不悲觀 外資維持中華電目標價115元
2023/02/04,台灣燈會主燈將登場 中華電佈建200台基地台
2023/02/08,中華電第三海纜遭損害 啟動微波系統備援
2023/02/10,〈電信三雄財報〉中華電再度拿下單月獲利王 1月每股賺0.42元
2023/02/14,〈中華電新春展望〉三大事業體持續成長 5G用戶滲透率再增1成
2023/02/14,〈中華電新春展望〉今年招募1700名新科技人才 調漲新鮮人起薪
2023/02/16,NCC、中華電助高流打造5G場域 年底再展日本異地共演
2023/02/16,〈台馬海纜斷〉中華電台馬海底電纜斷線 國際搶修4/20抵台
2023/02/18,NCC、中華電導入5G專網 囊括三分之二企業
2023/02/20,中華電與泰國國家電信強化合作 討論5G智慧解決方案
2023/02/21,中華電加入越南智慧城市聯盟 成新聯合創始會員
2023/02/24,中華電每股擬配發4.702元現金股利 殖利率逾4%
