date,title
2023/03/01,聯發科強拉近漲停 台積電首季財測難達標？
2023/03/01,【量大強漲股整理】AI概念仍是最強主流!台積電利空不跌的原因為何?外資也許還買的不夠?
2023/03/02,〈台股盤前〉台積電 ADR上漲雖能激勵台股 專家：電子暫難成主流
2023/03/03,台積電去年來自蘋果營收 首度衝破5000億元
2023/03/03,台積電去年員工平均薪資衝破300萬元 年增28.9%
2023/03/03,不跟風股神拋售 Lazard將台積電ADR列入投資首選
2023/03/04,台積電今年預計招募逾6000人 碩士新進工程師年薪上看200萬元
2023/03/05,工具機展、進出口統計、台積電/台塑四寶營收 本周大事預告
2023/03/10,三星聘請台積電前研發大將林俊成 攻先進封裝
2023/03/10,台積電2月營收1631億元 月減18%仍創歷年同期新高
2023/03/12,台積電除息、金控超級法說、張忠謀談話 本周大事預告
2023/03/13,台積電去年Q4市占率攀至58.5% 再拉大與三星差距
2023/03/13,台積電4月維持例行調薪 幅度尚無法透露
2023/03/15,台積電、大立光3/16除息 大盤估計蒸發27.89點
2023/03/16,〈張忠謀開講〉揭露台積電創立初期政府態度 李國鼎是唯一相信他的人
2023/03/16,路透：台積電赴德設廠談判進入最後階段 聚焦政府補貼
2023/03/16,瑞信風暴再起 台積電除息首日早盤窘貼息
2023/03/17,〈高通來台20周年〉首席COO：高通將是台積電美國廠4奈米首批客戶
2023/03/17,台積電今年首度發綠債 總金額193億元
2023/03/17,〈高通來台20周年〉台積電侯永清：地緣政治增加的成本誰來負擔 是供應鏈的挑戰
2023/03/17,台積電跳空開高一掃陰霾 除息第二天順利完成填息
2023/03/17,〈台股盤中〉多頭主帥台積電帶動大聯盟強攻 大盤漲逾170點
2023/03/20,高通推4奈米Snapdragon 7+Gen2 改由台積電生產
2023/03/22,【量大強漲股整理】台積電大漲後的選股方向，技術面觀察缺口是否順利回補？
2023/03/22,〈台股盤中〉台積電等權值股回神 助漲逾200點站回月線
2023/03/22,美公布晶片法案新規 台積電、三星中國業務估將受限
2023/03/24,魏哲家獲400張台積電限制股票 市值超過2億元
2023/03/24,外資連四日敲進台積電 金融族群續成狙擊對象
2023/03/29,【量大強漲股整理】台積電再現大單拉尾盤，外資翻多力抗節前賣壓，台股將會變盤向上?
2023/03/30,〈TSIA年會〉台積電資深副總經理侯永清 接任理事長
