date,title
2022/07/01,台積電市值跌破12兆元 本周蒸發8557億元
2022/07/02,〈熱門股〉外資出走連日破底 台積電探近20個月新低價
2022/07/03,〈觀察〉晶片法案遭共和黨大老揚言阻擋 台積電、環球晶美國建廠再添變數
2022/07/03,台積電市值失守4000億美元大關 跌至全球第十三大
2022/07/03,台積電遭蘋果砍單？郭明錤：目前沒有任何跡象
2022/07/04,外資連五賣台積電 累計賣超突破3萬張
2022/07/04,台積電何時護國?#創意、#中砂為先鋒！
2022/07/04,寶山擴建持續溝通 竹科：暫不影響台積電2奈米廠
2022/07/05,台積電供應商示警 半導體材料漲到明年
2022/07/05,7/5盤前提醒：台積電重挫低拖累指數破底、股王將換人做？鴻海營收驚豔，盤勢重點和操作提醒
2022/07/06,大立光法說會強碰台積電 法人關注三大重點
2022/07/06,台積電大將再出走 開放創新平台負責人轉戰英特爾
2022/07/08,高雄吸引半導體人才落地 台積電等4大廠徵才打頭陣
2022/07/08,台積電營收優於財測高標，料Q3展望將成市場焦點
2022/07/08,台積6月營收意外月減 市場將全面聚焦7/14台積電法說
2022/07/08,台積電6月營收1758億元寫次高 Q2首破5000億元創新高
2022/07/10,台積電/大立光法說、國安基金例會 本周大事預告
2022/07/11,7/11盤前提醒：台積電、大立光法說、美CPI本週登場，反彈行情能否延續的關鍵，選股方向是…
2022/07/12,英特爾挖角動作頻頻 台積電再傳高階主管跳槽
2022/07/12,市府駁楠梓產業園區水汙疑慮 台積電高雄廠2024年量產時程不變
2022/07/13,權王台積電繳稅550億元蟬聯冠軍 陽明270億元躍居亞軍
2022/07/13,台積電法說前夕外資認錯回補 連七買寫近10個月最長紀錄
2022/07/13,力拚趕上台積電 三星證券建議三星拆分晶圓代工赴美上市
2022/07/14,〈台積電法說〉財測亮眼上調今年營收展望 ADR早盤逆勢勁揚逾1%
2022/07/14,台積電法說前外資終止連7買 台指期轉空
2022/07/14,〈台積電法說〉Q4營收持續向上 打破市場憂心恐下滑傳言
2022/07/14,〈台積電法說〉上修今年營收展望、半導體庫存修正 一文看懂九大重點
2022/07/14,〈台積電法說〉劉德音：美國新廠持續爭取補助 沒有合資設廠計畫
2022/07/14,〈台積電法說〉魏哲家：半導體庫存修正估延續至明年上半年
2022/07/14,〈台積電法說〉設備交期拉長部分金額遞延 今年資本支出估近400億美元
2022/07/14,〈台積電法說〉Q3營收估季增11% 毛利率上看59.5%續朝6成叩關
2022/07/14,〈台積電法說〉上調今年美元營收成長預估 飛越3成估達34-36%
2022/07/14,〈台積電法說〉Q2毛利率逼近6成 EPS 9.14元再創高 上半年每股賺16.96元
2022/07/14,美CPI飆新高， Fed 7月將升4碼？今天下午還有台積電法說會，利空測試待鈍化，觀盤重點和操作方向
2022/07/15,看好前景買股力挺 台積電8位副總級主管6月持續加碼
2022/07/15,台積電展望優於預期、大立光營運可望回升！台股最壞的情況已過去？
2022/07/15,外資今大賣金控股 買超台積電等晶圓三雄
2022/07/15,〈台股盤後〉台積電、大立光衝鋒指數飆漲112點 周線收紅
2022/07/15,台積電法說消弭雜音 外資按讚平均目標價超過700元
2022/07/15,彭博：台積電打了一劑價值400億美元的抗通膨疫苗
2022/07/15,台積電一個人的武林 一文看懂法說會重點
2022/07/15,〈台股盤中〉台積電領軍半導體族群衝 收復14500點
2022/07/15,7/15盤前提醒：國安基金、台積電穩信心，看大做小，布局Q3新一波認養/作帳行情
2022/07/15,〈台股盤前〉台積電報喜+金管會救市 大盤可望續彈向月線靠攏
2022/07/18,台積電今年第三度發綠債 總金額新台幣139億元
2022/07/18,福斯也找上台積電 合作開發車用晶片
2022/07/18,首季先進製程手機晶片組市占 三星稱霸、台積電占4成
2022/07/18,7/18盤前提醒：國安基金、台積電穩信心，新一波作帳行情啟動，用這個方法找到投信新認養股
2022/07/19,升息+台積電發債降 上半年募資年減超過千億元
2022/07/19,台積電擬再發美元債 穆迪給Aa3評級估今年營收衝破2兆元
2022/07/19,〈台股盤前要聞〉矽晶圓市況降溫、福斯結盟台積電 今日必看財經新聞
2022/07/20,台積電10億美元公司債完成定價
2022/07/21,中芯悄悄出貨7奈米晶片 研調斷言可能抄襲台積電
2022/07/22,中華信評看好未來24個月 台積電仍可維持強健獲利
2022/07/22,三星擬在美蓋11座晶圓廠 重押美國就近搶台積電訂單
2022/07/22,台積電回神 市值重返13兆元大關
2022/07/25,〈聯發科投片英特爾〉英特爾來勢洶洶一舉搶下第三大客戶 台積電警戒
2022/07/25,台積電、聯電傳將赴印度考察 評估設廠可能
2022/07/26,7/26盤前提醒：萬五關卡操作重點？聯發科找Intel下單不利台積電？買台積電不如買受惠股？
2022/07/28,台積電亞利桑那州新廠上梁 2024年如期量產
2022/07/29,〈台積電ESG〉發起營業秘密註冊制度同學會 9家廠商響應
2022/07/29,〈台積電ESG〉強化供應鏈穩定性 打造供應商新建廠安全管理系統
