date,point
2022/01/10,0.0
2022/01/11,0.5
2022/01/17,-1.0
2022/02/13,0.0
2022/02/14,-1.0
2022/02/15,0.0
2022/03/08,-1.0
2022/03/10,-1.0
2022/03/14,-1.0
2022/03/17,0.0
2022/03/30,-1.0
2022/04/10,-1.0
2022/04/11,-1.0
2022/04/13,-1.0
2022/05/06,-0.5
2022/05/10,-1.0
2022/05/11,-1.0
2022/05/26,-1.0
2022/05/31,0.0
2022/06/01,1.0
2022/06/08,0.0
2022/06/09,0.0
2022/06/14,-1.0
2022/06/17,-1.0
2022/06/20,-1.0
2022/06/21,-1.0
2022/06/23,-1.0
2022/07/04,-1.0
2022/07/05,-1.0
2022/07/06,0.0
2022/07/11,-1.0
2022/07/12,-1.0
2022/07/14,0.0
2022/07/21,-1.0
2022/07/25,1.0
2022/08/02,1.0
2022/08/08,-1.0
2022/08/09,-1.0
2022/08/10,-1.0
2022/08/19,-1.0
2022/08/30,-1.0
2022/09/07,-1.0
2022/09/16,-1.0
2022/09/26,-1.0
2022/09/27,-1.0
2022/09/28,-1.0
2022/10/03,-1.0
2022/10/11,-1.0
2022/10/24,-1.0
2022/11/08,0.5
2022/11/09,-1.0
2022/12/01,0.0
2022/12/07,0.0
2022/12/08,-1.0
2022/12/14,1.0
2022/12/20,0.0
2022/12/26,0.0
2022/12/28,-1.0
2023/01/07,1.0
2023/01/10,-0.67
2023/01/12,-1.0
2023/01/16,0.0
2023/01/25,-1.0
2023/01/29,-1.0
2023/02/05,0.0
2023/02/07,-1.0
2023/02/08,0.0
2023/02/16,-1.0
2023/02/23,0.0
2023/02/24,-1.0
2023/03/05,0.33
2023/03/07,-1.0
2023/03/08,-1.0
2023/03/10,-1.0
2023/03/11,-1.0
2023/03/22,0.0
2023/03/24,0.0
2023/03/27,1.0
2023/03/28,-1.0
2023/04/06,-1.0
2023/04/09,0.0
2023/04/11,-1.0
2023/04/12,-1.0
2023/05/09,-0.5
2023/05/10,-1.0
2023/05/18,-1.0
2023/05/25,0.0
2023/05/26,-1.0
2023/05/30,-1.0
2023/06/04,0.0
2023/06/07,-0.5
2023/06/27,-1.0
2023/06/30,-1.0
