date,title, Y/N
2022/07/04,台塑等17檔個股7/5除息 大盤估約蒸發22點,#no
2022/07/05,〈台塑建電芯廠〉佈局電網級儲能市場 華城大啖低碳商機,#no
2022/07/05,〈台塑建電芯廠〉積極建立電池供應鏈 計劃前往澳洲尋覓鋰礦床,#no
2022/07/05,〈台塑建電芯廠〉斥資160億元建置LFP電池芯廠 2027年產能5GW,#no
2022/07/05,台塑除息首日陷貼息窘境 開低走低跌逾3%,#no
2022/07/06,〈台股盤前要聞〉台廠迎特化品漲價、台塑切入電池芯 今日必看財經新聞,#unknown
2022/07/11,〈台塑四寶業績發表〉示警需求現隱憂 台塑、台化下修展望 台塑化估油價有壓,#no
2022/07/11,〈台塑四寶業績發表〉上半年賺進1101億元 台塑營收、獲利創同期高最亮眼,#no
2022/07/12,〈焦點股〉台塑四寶股價兩樣情 台化、台塑化狂跌逾半根停板,#no
2022/07/14,台塑新設資安長 電子材料副總李應源出任,#unknown
2022/07/21,乙烯價格持續低迷 下游化學品廠樂、台塑化承壓,#no
2022/07/25,台塑集團拍板調薪4.5% 調幅創38年來最大,#yes
