date,profit
2022-01-11,5.0
2022-01-17,-2.0
2022-02-10,10.0
2022-03-07,-4.0
2022-03-09,1.0
2022-03-10,2.0
2022-03-11,-6.0
2022-03-14,-2.0
2022-03-15,-4.0
2022-03-16,-6.0
2022-03-18,-1.0
2022-03-21,3.0
2022-03-21,3.0
2022-03-24,4.0
2022-03-28,3.0
2022-03-29,3.0
2022-03-30,1.0
2022-04-01,4.0
2022-04-06,0.0
2022-04-11,-5.0
2022-04-13,9.0
2022-04-15,0.0
2022-04-18,2.0
2022-04-21,-6.0
2022-05-06,0.0
2022-05-11,3.0
2022-05-12,-11.0
2022-05-16,-1.0
2022-05-18,-3.0
2022-05-23,-5.0
2022-05-25,2.0
2022-05-27,6.0
2022-05-31,18.0
2022-06-01,-1.0
2022-06-06,-1.0
2022-06-09,3.0
2022-06-10,0.0
2022-06-13,-2.0
2022-06-13,-2.0
2022-06-17,1.5
2022-06-20,-2.0
2022-06-21,4.0
2022-06-27,2.5
2022-06-28,1.5
2022-07-07,15.5
2022-07-11,-6.0
2022-07-14,9.0
2022-07-15,11.5
2022-07-18,0.0
2022-07-19,3.5
2022-07-20,-7.0
2022-07-21,5.0
2022-07-25,-0.5
2022-07-26,-4.5
2022-08-01,-2.0
2022-08-02,-2.0
2022-08-04,1.0
2022-08-08,2.0
2022-08-09,3.0
2022-08-12,2.0
2022-08-15,3.0
2022-08-16,-1.0
2022-08-17,3.0
2022-08-18,0.0
2022-08-24,-1.0
2022-08-29,1.5
2022-09-01,-4.5
2022-09-05,1.0
2022-09-13,-2.0
2022-09-14,1.5
2022-09-15,0.5
2022-09-16,1.5
2022-09-20,6.0
2022-10-03,-1.5
2022-11-02,4.0
2022-11-07,0.0
2022-12-05,-2.5
2022-12-07,-2.0
2022-12-12,-1.5
2022-12-13,-1.5
2022-12-16,4.5
2022-12-19,0.0
2022-12-26,2.5
2022-12-29,2.0
2023-01-05,-0.5
2023-01-09,13.0
2023-01-13,-7.0
2023-01-16,-1.0
2023-01-17,-1.0
2023-02-08,2.0
2023-02-09,0.0
2023-03-06,1.0
2023-03-13,3.0
2023-03-17,2.0
2023-05-05,0.0
2023-06-09,4.0
