"標題","連結","日期",
"112年第1季得為上市認購（售）權證（含牛熊證）之標的證券","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801856287fb3a0289","111年12月30日",
"本週發行量加權股價指數跌幅約為0.94%，上市股票總市值達44.27兆元","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801856261ce450285","111年12月30日",
"今年度加權股價指數跌幅為22.40%，上市股票總市值減少12兆159.87億元，外資及陸資賣超為1兆2,326.62億元","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801856259e4960281","111年12月30日",
"臺灣證券交易所對中國信託金融控股股份有限公司違反重大訊息規定，處以新台幣5萬元違約金","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880185625625ac027d","111年12月30日",
"倚天酷碁申請臺灣創新板 證交所以行動支持育成新創永續經營","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf888018561b8dd720272","111年12月30日",
"臺灣證券交易所對春源鋼鐵工業股份有限公司違反重大訊息規定，處以新台幣3萬元違約金。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801855d5d3644026b","111年12月29日",
"第19屆「校園證券投資智慧王」全國大專院校知識競賽活動圓滿閉幕，總決賽由國立臺北科技大學獲得冠軍！","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801855d56e95a0269","111年12月29日",
"新經濟股重磅登場 Gogolook（走著瞧）申請臺灣創新板","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801855c172c1a0261","111年12月29日",
"證交所公布111年度機構投資人盡職治理資訊揭露較佳名單，鼓勵機構投資人提升相關資訊揭露品質","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880185584891d1025b","111年12月28日",
"正瀚生技(股)公司於111年12月28日送件申請股票上市","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf888018557f482830256","111年12月28日",
"達發科技(股)公司於111年12月27日送件申請股票上市","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880185531c22f10242","111年12月27日",
"「偉康科技股份有限公司」（證券代號：6865）採競價拍賣方式辦理承銷，於今（12／27）日順利完成。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880185522f660b023e","111年12月27日",
"新鋼工業股份有限公司預計於112年1月份假證交所場地自行舉辦法人說明會","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801854e0386720239","111年12月26日",
"上週外資在集中市場賣超314.20億元，賣超永豐金15.97萬張最多，另買超中鋼27.20萬張最多。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801854d0737150233","111年12月26日",
"112年1月20日至1月27日證券市場休市，1月7日（星期六）及2月4日（星期六）補行上班，但不交易亦不交割","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801853e75f212022f","111年12月23日",
"本週發行量加權股價指數跌幅約為1.77%，上市股票總市值達44.68兆元。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801853e74e09e022b","111年12月23日",
"112年度(第十屆)公司治理評鑑指標，正式公告適用","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801853e622d6c0227","111年12月23日",
"臺灣證券交易所對國泰金融控股股份有限公司、中國信託金融控股股份有限公司、新光金融控股股份有限公司及中華開發金融控股股份有限公司違反重大訊息規定，各處以新台幣20萬元違約金。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801853dca68d40221","111年12月23日",
"臺灣證券交易所對大山電線電纜股份有限公司違反重大訊息規定，處以新台幣3萬元違約金","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880185395e4526021d","111年12月22日",
"臺灣證券交易所對鴻海精密工業股份有限公司違反重大訊息規定，處以新台幣5萬元違約金","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf888018539597a610219","111年12月22日",
"臺灣證券交易所審議通過新光投信「標普Kensho電動車市值加權指數(S&P Kensho Capped Electric Vehicles Index)」ETF標的指數資格認可","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801853945314d0215","111年12月22日",
"「校園證券投資智慧王」將於12月29日進行總決賽","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf888018538a1df5a0210","111年12月22日",
"全體證券商111年11月份稅後淨利54.65億元，累計稅後淨利347.21億元","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880185389a53b4020a","111年12月22日",
"證交所發布「上市上櫃公司永續報告書確信機構管理要點」，提升永續資訊揭露品質","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880185343bda200206","111年12月21日",
"臺灣證券交易所對益航股份有限公司違反重大訊息規定，處以新台幣3萬元違約金","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801853434181e0202","111年12月21日",
"台灣虎航(股)公司於111年12月21日送件申請股票上市","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf888018533df0b9a01fd","111年12月21日",
"臺灣證券交易所有價證券上市審議委員會審議通過雲豹能源科技股份有限公司初次申請股票創新板上市案","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf888018533ddc3cb01f9","111年12月21日",
"力推創新上市 證交所偕勤業眾信、花旗(台灣)銀行合辦創新板上市座談會","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf888018533db98d501f5","111年12月21日",
"臺灣證券交易所針對宏旭控股股份有限公司（宏旭-KY，公司代號: 2243）違反重大訊息規定，處以新臺幣5萬元之違約金","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf888018533d844f401f1","111年12月21日",
"證交所結合各界資源辦理ESG人才培育，提升台灣企業競爭力","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801852e56ad2001e6","111年12月20日",
"華安醫學(股)公司於111年12月20日送件申請股票上市","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801852e2b770301e2","111年12月20日",
"111年第4季「第一上市公司財務業務說明會」圓滿落幕","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf888018529cf25ae01d6","111年12月19日",
"臺灣證券交易所訂於12月21日召開有價證券上市審議委員會第771次會議，將審議雲豹能源科技(股)公司之申請股票創新板上市案。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf888018529c5c9e101d2","111年12月19日",
"上週外資在集中市場賣超184.55億元，賣超遠東新5.80萬張最多，另買超友達6.60萬張最多。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf888018528fb96b701c0","111年12月19日",
"臺灣證券交易所對陽明海運股份有限公司違反重大訊息規定，處以新台幣3萬元違約金。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801851a48a5e901bb","111年12月16日",
"本週發行量加權股價指數跌幅約為1.20%，上市股票總市值達45.48兆元。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801851a40824b01b4","111年12月16日",
"臺灣證券交易所對中磊電子股份公司違反重大訊息規定，處以新台幣3萬元違約金。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf888018519e718f401af","111年12月16日",
"疫後重啟海外招商首發　證交所攜手中介機構前進越南","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf888018519de628901ab","111年12月16日",
"112年股東會事前登記之「單一憑證IC卡設定作業」，提醒上市公司自111年12月19日起於時限內完成相關設定","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880185154884d901a4","111年12月15日",
"「天擎積體電路股份有限公司」(證券代號：6708)採競價拍賣方式辦理承銷，於今(12/15)日順利完成。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf888018514c11d13019e","111年12月15日",
"111年12月19日起盤中零股撮合間隔時間縮短至1分鐘","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf888018514683d820198","111年12月15日",
"展達通訊股份有限公司股票自111年12月15日開始上市買賣","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880185100be7ef016a","111年12月14日",
"111年12月15日除息影響加權股價指數","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801850ff164b10165","111年12月14日",
"證交所前進明新科技大學辦理校園專題講座","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801850ae6182a015c","111年12月13日",
"金融投資詐騙民眾有感 網路活動參與踴躍","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801850ae204c00158","111年12月13日",
